"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Passage East, Waterford Division",3,2,2,1,2,4
" ","Passage West, Cork City Division",38,38,22,20,14,24
" ","Patrickswell, Limerick Division",21,8,10,17,11,16
" ","Pearse Street, D.M.R. South Central Division",538,446,521,551,451,481
" ","Pettigo, Donegal Division",1,2,0,2,1,1
" ","Piltown, Kilkenny/Carlow Division",4,4,9,3,8,5
" ","Portarlington, Laois/Offaly Division",25,39,57,45,47,46
" ","Portlaoise, Laois/Offaly Division",160,153,91,98,120,109
" ","Portlaw, Waterford Division",3,8,11,20,14,6
" ","Portmagee, Kerry Division",1,2,8,1,3,2
" ","Portroe, Tipperary Division",1,1,0,2,3,2
" ","Portumna, Galway Division",7,8,9,11,6,8
" ","Raheny, D.M.R. Northern Division",70,76,58,46,37,29
" ","Ramelton, Donegal Division",11,9,9,4,11,8
" ","Raphoe, Donegal Division",37,44,43,27,11,13
" ","Rathangan, Kildare Division",25,13,8,21,29,22
" ","Rathcoole, D.M.R. Western Division",7,24,28,22,28,23
" ","Rathcormac, Co Cork, Cork North Division",8,1,7,6,6,7
" ","Rathdowney, Laois/Offaly Division",16,3,10,12,6,6
" ","Rathdrum, Wicklow Division",15,24,14,14,10,16
" ","Rathfarnham, D.M.R. Southern Division",141,132,112,98,78,84
" ","Rathgormack, Co Waterford, Waterford Division",0,0,1,14,0,3
" ","Rathkeale, Limerick Division",36,35,37,22,20,26
" ","Rathmines, D.M.R. Southern Division",92,81,85,96,65,81
" ","Rathmore, Co Kerry, Cork West Division",7,6,7,8,8,8
" ","Rathmullen, Donegal Division",1,6,2,2,9,3
" ","Rathvilly, Kilkenny/Carlow Division",6,6,4,5,3,1
" ","Rhode, Laois/Offaly Division",7,6,9,3,7,4
" ","Riverstown, Sligo/Leitrim Division",9,5,3,1,5,2
" ","Robertstown, Kildare Division",27,20,41,20,9,11
" ","Rochfortbridge, Westmeath Division",9,10,9,11,10,9
" ","Rockcorry, Cavan/Monaghan Division",2,3,7,0,2,1
" ","Ronanstown, D.M.R. Western Division",123,113,139,174,170,106
" ","Roosky, Roscommon/Longford Division",7,6,3,6,2,3
" ","Ros Muc, Galway Division",2,2,0,5,0,1
" ","Roscommon, Roscommon/Longford Division",55,62,44,36,47,42
" ","Roscrea, Tipperary Division",39,37,28,16,22,18
" ","Rosscarbery, Cork West Division",6,6,4,2,4,1
" ","Rosses Point, Sligo/Leitrim Division",0,4,5,1,2,5
" ","Rosslare Harbour, Wexford Division",14,25,5,15,12,11
" ","Rosslare Strand, Wexford Division",7,21,11,9,14,4
" ","Roundwood, Wicklow Division",4,5,6,15,11,10
" ","Roxboro Road, Limerick Division",283,183,164,190,138,170
" ","Santry, D.M.R. Northern Division",152,137,159,127,109,110
" ","Scariff, Clare Division",15,10,13,9,5,11
" ","Schull, Cork West Division",10,6,5,8,8,12
" ","Scotstown, Cavan/Monaghan Division",9,16,22,16,10,3
" ","Shankill, D.M.R. Eastern Division",97,88,89,65,76,54
" ","Shannon, Clare Division",100,74,75,47,33,47
" ","Shercock, Cavan/Monaghan Division",6,4,12,25,6,5
" ","Shevry, Tipperary Division",0,0,0,0,3,0
" ","Shillelagh, Wicklow Division",15,9,5,4,2,4
" ","Shinrone, Laois/Offaly Division",5,1,1,3,1,4
" ","Shrule, Mayo Division",4,1,0,3,5,2
" ","Sixmilebridge, Clare Division",9,17,7,12,6,5
" ","Skerries, D.M.R. Northern Division",40,25,27,32,35,24
" ","Skibbereen, Cork West Division",35,29,17,19,10,21
" ","Skreen, Sligo/Leitrim Division",1,2,1,0,1,2
" ","Slane, Meath Division",7,13,4,4,0,14
" ","Sligo, Sligo/Leitrim Division",239,190,167,142,115,100
" ","Smear, Roscommon/Longford Division",4,3,5,4,5,3
" ","Sneem, Kerry Division",1,2,2,5,2,1
" ","Sraith Salach, Galway Division",0,0,1,0,1,0
" ","Stoneyford, Kilkenny/Carlow Division",2,2,0,2,1,2
" ","Store Street, D.M.R. North Central Division",284,270,313,338,289,304
" ","Stradbally Co Laois, Laois/Offaly Division",4,7,7,8,14,11
" ","Strokestown, Roscommon/Longford Division",11,9,5,8,3,5
" ","Stuake, Cork West Division",4,4,3,6,4,3
" ","Summerhill, Meath Division",6,6,11,4,2,5
" ","Sundrive Road, D.M.R. Southern Division",102,102,108,86,82,62
" ","Swanlinbar, Cavan/Monaghan Division",5,3,4,1,3,0
" ","Swinford, Mayo Division",19,17,19,28,22,15
" ","Swords, D.M.R. Northern Division",123,155,137,127,127,136
" ","Taghmon, Wexford Division",10,13,7,10,7,4
" ","Tallaght, D.M.R. Southern Division",354,387,351,282,278,279
" ","Tallow, Waterford Division",6,4,4,2,6,2
" ","Tarbert, Kerry Division",5,0,3,2,1,7
" ","Tarelton, Cork West Division",3,2,2,2,3,3
" ","Taughmaconnell, Roscommon/Longford Division",0,1,0,2,2,1
" ","Templederry, Tipperary Division",0,0,0,4,0,0
" ","Templemore, Tipperary Division",22,31,17,22,12,12
" ","Templetuohy, Tipperary Division",2,4,4,2,7,0
" ","Terenure, D.M.R. Southern Division",46,63,46,49,33,54
" ","Thomastown, Kilkenny/Carlow Division",8,19,20,18,21,8
" ","Thurles, Tipperary Division",79,83,72,58,55,60
" ","Timoleague, Cork West Division",3,6,10,5,5,4
" ","Tinahely, Wicklow Division",10,11,4,3,5,5
" ","Tipperary, Tipperary Division",56,64,50,61,45,38
" ","Togher, Cork City Division",72,64,52,62,29,28
" ","Toomevara, Tipperary Division",7,0,2,4,0,0
" ","Tralee, Kerry Division",219,216,200,173,166,159
" ","Tramore, Waterford Division",76,83,66,51,59,51
" ","Trim, Meath Division",79,52,41,29,36,19
" ","Tuam, Galway Division",81,60,63,79,72,54
" ","Tubbercurry, Sligo/Leitrim Division",5,9,11,18,19,24
" ","Tulla, Clare Division",9,4,7,7,10,12
" ","Tullamore, Laois/Offaly Division",105,93,92,100,105,108
" ","Tullow, Kilkenny/Carlow Division",29,22,24,16,17,14
" ","Tulsk, Roscommon/Longford Division",2,0,4,2,2,3
" ","Urlingford, Kilkenny/Carlow Division",15,5,11,5,3,15
" ","Virginia, Cavan/Monaghan Division",22,27,29,28,32,24
" ","Watercourse Road, Cork City Division",180,183,144,160,177,164
" ","Waterford, Waterford Division",342,368,331,332,356,302
" ","Watergrasshill, Cork North Division",2,3,2,3,1,3
" ","Westport, Mayo Division",71,61,62,88,61,68
" ","Wexford, Wexford Division",103,85,103,88,116,101
" ","Whitegate, Cork North Division",8,5,5,0,3,0
" ","Wicklow, Wicklow Division",81,76,79,78,87,74
" ","Williamstown, Galway Division",1,7,4,8,9,2
" ","Woodford, Galway Division",1,2,0,2,2,1
" ","Youghal, Cork North Division",42,40,30,32,27,37
"04 ,Dangerous or negligent acts"
" ","Abbeyfeale, Limerick Division",16,14,20,6,6,7
" ","Abbeyleix, Laois/Offaly Division",37,22,23,5,6,12
" ","Adare, Limerick Division",12,12,6,5,6,5
" ","Aglish, Waterford Division",3,1,0,2,2,6
" ","Ahascragh, Galway Division",7,4,3,2,5,3
" ","Ailt an Chorraiin, Donegal Division",8,5,6,2,3,1
" ","An Bun Beag, Donegal Division",21,24,13,15,16,5
" ","An Charraig, Donegal Division",8,7,4,5,3,1
" ","An Cheathru Rua, Galway Division",17,12,16,4,10,12
" ","An Clochain Liath, Donegal Division",29,15,6,6,6,5
" ","An Coirean, Kerry Division",4,11,6,5,3,2
" ","An Craoslach, Donegal Division",4,1,3,2,1,0
" ","An Fail Carrach, Donegal Division",29,2,12,4,8,5
" ","An Maim, Galway Division",3,4,3,4,3,5
" ","An Rinn, Waterford Division",6,3,3,2,2,1
" ","An Spideal, Galway Division",3,3,6,7,3,5
" ","Anglesea Street, Cork City Division",142,114,107,96,105,50
" ","Annascaul, Kerry Division",2,0,2,1,0,1
" ","Aran More, Galway Division",45,47,29,28,35,29
" ","Ard an Raitha, Donegal Division",10,7,5,3,3,3
" ","Ardee, Louth Division",32,29,23,18,13,11
" ","Ardfert, Kerry Division",14,8,6,9,4,8
" ","Ardfinnan, Tipperary Division",11,16,2,1,2,1
" ","Ardmore, Waterford Division",2,4,2,2,1,2
" ","Ardnacrusha, Limerick Division",26,11,15,13,3,5
" ","Ardrahan, Galway Division",2,4,1,4,5,0
" ","Arklow, Wicklow Division",59,50,40,38,23,26
" ","Arles, Laois/Offaly Division",7,5,3,4,2,1
" ","Arva, Cavan/Monaghan Division",9,9,4,3,3,2
" ","Ashbourne, Meath Division",108,81,62,49,35,37
" ","Ashford, Wicklow Division",37,37,12,21,13,11
" ","Askeaton, Limerick Division",6,6,1,6,6,0
" ","Athea, Limerick Division",3,4,3,1,0,0
" ","Athenry, Galway Division",12,17,24,16,10,14
" ","Athleague, Roscommon/Longford Division",9,5,2,3,3,4
" ","Athlone, Westmeath Division",179,138,76,59,57,41
" ","Athy, Kildare Division",53,46,45,32,34,39
" ","Aughrim, Wicklow Division",4,2,4,2,2,2
" ","Avoca, Wicklow Division",12,8,5,1,0,0
" ","Baile AÅtha Bui, Meath Division",11,6,6,7,6,10
" ","Baile an FheirtÈaraigh, Kerry Division",3,0,0,3,2,3
" ","Baile Bhuirne, Cork West Division",9,3,7,6,3,5
" ","Bailieboro, Cavan/Monaghan Division",50,38,17,16,12,12
" ","Balbriggan, D.M.R. Northern Division",109,93,83,72,67,50
" ","Balla, Mayo Division",9,6,4,3,0,2
" ","Ballaghderreen, Roscommon/Longford Division",19,9,14,16,11,5
" ","Ballina, Mayo Division",84,74,45,32,28,24
" ","Ballinagh, Cavan/Monaghan Division",10,11,4,8,9,8
" ","Ballinamore, Sligo/Leitrim Division",8,7,8,2,3,2
" ","Ballinasloe, Galway Division",75,52,53,30,21,25
" ","Ballincollig, Cork City Division",55,43,27,42,30,38
" ","Ballindine, Mayo Division",3,2,1,4,5,1
" ","Ballineen, Cork West Division",9,5,4,5,7,7
" ","Ballingarry North, Tipperary Division",1,1,0,0,2,0
" ","Ballingarry South, Tipperary Division",2,2,3,3,2,2
" ","Ballingarry, Limerick Division",3,1,5,3,3,1
" ","Ballinhassig, Cork West Division",11,5,10,11,10,9
" ","Ballinlough, Roscommon/Longford Division",8,4,3,2,4,8
" ","Ballinrobe, Mayo Division",16,13,11,19,9,9
" ","Ballintra, Donegal Division",8,13,6,4,9,3
" ","Ballivor, Meath Division",5,5,0,1,4,2
" ","Ballon, Kilkenny/Carlow Division",8,6,6,7,2,2
" ","Ballybay, Cavan/Monaghan Division",19,20,28,24,15,11
" ","Ballybofey, Donegal Division",52,37,30,29,15,28
" ","Ballybunion, Kerry Division",12,18,15,10,5,12
" ","Ballyconnell, Cavan/Monaghan Division",24,19,16,12,14,9
" ","Ballycotton, Cork North Division",3,4,3,5,4,2
" ","Ballycroy, Mayo Division",1,0,0,0,0,1
" ","Ballycullane, Wexford Division",6,7,2,2,2,3
" ","Ballydehob, Cork West Division",6,1,2,0,3,1
" ","Ballydesmond, Cork West Division",1,3,0,1,1,1
" ","Ballyduff,  Co. Kerry, Kerry Division",7,4,9,2,3,5
" ","Ballyfermot, D.M.R. Western Division",193,155,124,91,91,49
" ","Ballygar, Galway Division",2,2,1,0,1,2
" ","Ballyhale, Kilkenny/Carlow Division",4,9,4,2,3,5
" ","Ballyhaunis, Mayo Division",18,14,11,7,8,8
" ","Ballyheigue, Kerry Division",4,3,5,6,3,2
" ","Ballyjamesduff, Cavan/Monaghan Division",48,24,22,8,8,5
" ","Ballylanders, Limerick Division",7,6,0,2,4,1
" ","Ballylinan, Laois/Offaly Division",7,4,3,5,1,4
" ","Ballymacarberry, Waterford Division",6,0,0,1,0,6
" ","Ballymahon, Roscommon/Longford Division",23,6,10,4,2,5
" ","Ballymore, Westmeath Division",5,7,0,2,1,2
" ","Ballymote, Sligo/Leitrim Division",20,19,10,7,4,7
" ","Ballymun, D.M.R. Northern Division",132,99,83,51,53,59
" ","Ballynacargy, Westmeath Division",5,3,3,1,8,6
" ","Ballyneety, Limerick Division",10,4,4,7,1,3
" ","Ballynoe, Cork North Division",5,6,0,2,3,3
" ","Ballyporeen, Tipperary Division",4,8,6,3,1,3
" ","Ballyshannon, Donegal Division",25,20,24,12,8,10
" ","Ballyvaughan, Clare Division",3,3,1,0,1,0
" ","Baltimore, Cork West Division",3,1,1,1,2,0
" ","Baltinglass, Wicklow Division",21,25,22,29,6,5
" ","Banagher, Laois/Offaly Division",6,4,7,3,3,6
" ","Bandon, Cork West Division",71,64,32,28,25,33
" ","Bangor Erris, Mayo Division",5,4,7,4,1,1
" ","Bansha, Tipperary Division",3,1,4,3,4,1
" ","Bantry, Cork West Division",35,15,28,13,15,14
" ","Barnaderg, Galway Division",5,7,3,1,4,1
" ","Barraduff, Kerry Division",6,2,2,2,1,2
" ","BÈal aÅtha an Ghaorthaidh, Cork West Division",5,4,2,4,4,2
" ","BÈal an Mhuirthead, Mayo Division",26,23,14,10,14,7
" ","Belturbet, Cavan/Monaghan Division",24,18,15,15,3,8
" ","Bennettsbridge, Kilkenny/Carlow Division",4,3,10,6,3,6
" ","Birr,  Laois/Offaly Division",28,32,28,13,14,9
" ","Bishopstown, Cork City Division",64,27,33,21,35,26
" ","Blacklion, Cavan/Monaghan Division",6,0,0,0,0,0
" ","Blackrock, Co Cork, Cork City Division",62,25,18,20,25,27
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",60,63,58,48,41,41
" ","Blackrock, Co Louth, Louth Division",16,11,9,4,5,4
" ","Blackwater, Wexford Division",9,11,3,7,7,10
" ","Blanchardstown, D.M.R. Western Division",475,355,251,207,178,123
" ","Blarney, Cork City Division",36,26,43,20,18,11
" ","Blessington, Wicklow Division",30,44,41,22,19,12
" ","Boherbue, Cork West Division",7,4,0,4,7,2
" ","Bonniconlon, Mayo Division",3,2,3,4,0,1
" ","Borris, Kilkenny/Carlow Division",10,5,2,2,1,0
" ","Borris-In-Ossory, Laois/Offaly Division",4,6,5,4,7,3
" ","Borrisokane, Tipperary Division",8,9,7,6,3,3
" ","Borrisoleigh, Tipperary Division",12,7,6,3,4,9
" ","Bothar Na Tra, Galway Division",89,57,48,52,31,36
" ","Boyle, Roscommon/Longford Division",18,10,10,1,15,6
" ","Bray, Wicklow Division",140,130,101,61,62,58
" ","Bridewell Cork, Cork City Division",51,28,29,34,21,27
" ","Bridewell Dublin, D.M.R. North Central Division",145,98,69,57,79,47
" ","Bruff, Limerick Division",11,4,8,7,4,3
" ","Bruree, Limerick Division",6,3,3,4,6,3
" ","Bunclody, Wexford Division",11,11,8,13,6,6
" ","Buncrana, Donegal Division",52,63,40,30,33,34
" ","Bundoran, Donegal Division",21,21,19,12,19,13
" ","Burnfoot, Donegal Division",34,24,13,12,16,9
" ","Buttevant, Cork North Division",18,17,14,7,8,5
" ","Cabinteely, D.M.R. Eastern Division",45,56,40,34,27,19
" ","Cabra, D.M.R. Western Division",103,72,51,40,28,15
" ","Caherciveen, Kerry Division",12,13,11,13,10,7
" ","Caherconlish, Limerick Division",10,7,4,4,5,3
" ","Cahir, Tipperary Division",84,64,43,28,20,21
" ","Callan, Kilkenny/Carlow Division",11,9,8,3,4,3
" ","Campile, Wexford Division",2,4,2,5,5,2
" ","Cappamore, Limerick Division",5,1,1,4,1,1
" ","Cappawhite, Tipperary Division",21,10,12,7,3,3
" ","Cappoquin, Waterford Division",8,3,3,4,4,6
" ","Carbury, Kildare Division",12,13,9,10,8,9
" ","Carlingford, Louth Division",9,9,9,3,6,3
" ","Carlow, Kilkenny/Carlow Division",148,144,101,87,80,72
" ","Carna, Galway Division",6,4,7,4,0,4
" ","Carndonagh, Donegal Division",26,23,18,16,9,16
" ","Carnew, Wicklow Division",6,7,4,1,1,0
" ","Carraig Airt, Donegal Division",9,6,6,4,5,6
" ","Carrickbyrne, Wexford Division",15,17,18,8,7,6
" ","Carrickmacross, Cavan/Monaghan Division",120,72,57,43,53,35
" ","Carrick-on-Bannow, Wexford Division",6,7,5,8,5,5
" ","Carrick-On-Shannon, Sligo/Leitrim Division",85,48,36,30,30,21
" ","Carrick-On-Suir, Tipperary Division",36,22,19,26,22,16
" ","Carrigaline, Cork City Division",36,41,42,33,21,18
" ","Carrigallen, Sligo/Leitrim Division",8,2,0,1,1,2
" ","Carrigans, Donegal Division",6,4,3,3,6,3
" ","Carrigtwohill, Cork North Division",32,19,27,11,11,16
" ","Cashel, Tipperary Division",45,44,27,25,12,15
" ","Castlebar, Mayo Division",90,59,53,50,46,42
" ","Castlebellingham, Louth Division",15,7,10,7,5,7
" ","Castleblayney, Cavan/Monaghan Division",94,87,53,39,31,39
" ","Castlebridge, Wexford Division",8,10,6,5,9,4
" ","Castlecomer, Kilkenny/Carlow Division",20,23,13,6,11,9
" ","Castleconnell, Limerick Division",17,13,11,6,10,11
" ","Castledermot, Kildare Division",15,11,5,4,7,1
" ","Castlefin, Donegal Division",4,6,3,9,3,5
" ","Castlegregory, Kerry Division",8,5,2,0,2,0
" ","Castleisland, Kerry Division",19,17,7,10,12,13
" ","Castlemaine, Kerry Division",8,3,2,4,3,5
" ","Castlepollard, Westmeath Division",18,8,7,9,4,5
" ","Castlerea, Roscommon/Longford Division",29,14,16,15,10,8
" ","Castletownbere, Cork West Division",6,6,6,4,2,4
" ","Castletownroche, Cork North Division",1,2,7,7,1,3
" ","Cavan, Cavan/Monaghan Division",159,100,78,76,81,56
" ","Celbridge, Kildare Division",42,35,28,25,20,26
" ","Charlestown, Mayo Division",6,11,10,6,4,8
" ","Charleville, Cork North Division",47,34,28,22,18,23
" ","Cill Ronain, Galway Division",2,0,2,1,0,0
" ","Clane, Kildare Division",50,26,25,16,24,26
" ","Clara, Laois/Offaly Division",18,14,11,10,6,9
" ","Claremorris, Mayo Division",35,49,28,26,17,19
" ","Clifden, Galway Division",14,21,20,15,10,3
" ","Cloch na Ron, Galway Division",0,2,2,1,0,1
" ","Cloghan, Co. Offaly, Laois/Offaly Division",11,2,1,5,3,2
" ","Clogheen, Co. Tipperary, Tipperary Division",3,1,3,3,2,1
" ","Clogher, Donegal Division",4,3,4,3,2,1
" ","Clogherhead, Louth Division",4,4,4,5,2,2
" ","Clonakilty, Cork West Division",27,29,23,28,16,16
" ","Clonark, Roscommon/Longford Division",9,2,2,4,9,2
" ","Clonaslee, Laois/Offaly Division",5,2,1,1,2,1
" ","Clonbologue, Laois/Offaly Division",2,1,1,0,0,0
" ","Clondalkin, D.M.R. Western Division",196,187,174,115,126,110
" ","Clones, Cavan/Monaghan Division",33,23,20,14,15,17
" ","Clonmany, Donegal Division",5,2,5,3,5,2
" ","Clonmel, Tipperary Division",114,95,97,60,48,58
" ","Clonroche, Wexford Division",8,7,2,2,2,1
" ","Clontarf, D.M.R. Northern Division",97,120,66,46,60,43
" ","Cloughjordan, Tipperary Division",3,0,0,0,0,0
" ","Cloyne, Cork North Division",11,11,6,4,3,4
" ","Coachford, Cork West Division",9,5,9,5,10,9
" ","Cobh, Cork North Division",42,40,31,22,25,21
" ","Collon, Louth Division",3,2,4,2,2,2
" ","Collooney, Sligo/Leitrim Division",17,23,14,21,14,13
" ","Cong, Mayo Division",4,0,1,7,1,1
" ","Convoy, Donegal Division",23,9,9,4,9,8
" ","Coolaney, Sligo/Leitrim Division",2,6,4,1,3,1
" ","Coolock, D.M.R. Northern Division",234,267,155,114,91,88
" ","Cootehill, Cavan/Monaghan Division",31,18,11,14,13,4
" ","Corofin Co. Clare, Clare Division",7,4,3,1,4,5
" ","Corofin Co. Galway, Galway Division",2,7,5,6,7,6
" ","Courtown Harbour, Wexford Division",29,17,22,17,24,15
" ","Craughwell, Galway Division",14,15,7,3,6,9
" ","Creggs, Galway Division",5,0,1,0,0,1
" ","Crookstown, Cork West Division",13,1,11,5,6,5
" ","Croom, Limerick Division",7,4,8,2,9,2
" ","Crosshaven, Cork City Division",12,9,5,6,11,3
" ","Crossmolina, Mayo Division",15,10,3,3,9,2
" ","Crumlin, D.M.R. Southern Division",101,81,46,44,29,30
" ","Crusheen, Clare Division",6,2,0,4,4,2
" ","Daingean, Laois/Offaly Division",4,9,5,7,4,2
" ","Delvin, Westmeath Division",14,12,15,13,8,6
" ","Dingle, Kerry Division",27,11,14,17,25,16
" ","Dolla, Tipperary Division",4,4,2,0,1,0
" ","Donegal Town, Donegal Division",30,31,23,14,29,20
" ","Doneraile, Cork North Division",4,10,6,6,3,5
" ","Donnybrook, D.M.R. South Central Division",126,81,49,57,56,38
" ","Douglas, Cork City Division",76,54,43,43,29,43
" ","Dowra, Cavan/Monaghan Division",0,1,0,0,0,0
" ","Drimoleague, Cork West Division",6,6,4,1,3,2
" ","Drinagh, Cork West Division",1,0,1,0,0,0
" ","Drogheda, Louth Division",264,196,123,111,78,58
" ","Drumad, Louth Division",9,8,3,6,2,2
" ","Drumcollogher, Limerick Division",2,2,4,2,2,0
" ","Drumlish, Roscommon/Longford Division",11,5,11,5,6,4
" ","Drumshambo, Sligo/Leitrim Division",7,8,3,4,0,3
" ","Dublin Airport, D.M.R. Northern Division",52,36,12,10,14,7
" ","Duleek, Meath Division",10,14,12,13,12,8
" ","Dun Fionnachaid, Donegal Division",8,9,9,2,5,3
" ","Dun Laoghaire, D.M.R. Eastern Division",98,80,71,55,41,30
" ","Dunboyne, Meath Division",36,29,24,29,29,14
" ","Duncannon, Wexford Division",10,3,8,12,2,4
" ","Dundalk, Louth Division",290,292,179,140,91,61
" ","Dundrum, D.M.R. Eastern Division",121,100,110,100,98,67
" ","Dungarvan, Waterford Division",83,64,45,41,40,39
" ","Dunlavin, Wicklow Division",8,13,1,4,2,2
" ","Dunleer, Louth Division",6,12,12,5,7,4
" ","Dunmanway, Cork West Division",19,15,10,11,7,4
" ","Dunmore East, Waterford Division",6,8,8,5,9,9
" ","Dunmore, Galway Division",2,3,2,5,1,5
" ","Dunshaughlin, Meath Division",31,26,19,16,25,24
" ","Durrow, Laois/Offaly Division",12,6,2,2,4,0
" ","Durrus, Cork West Division",2,2,4,0,1,1
" ","Edenderry, Laois/Offaly Division",40,20,16,13,15,8
" ","Edgeworthstown, Roscommon/Longford Division",17,17,17,9,14,19
" ","Elphin, Roscommon/Longford Division",1,4,3,1,1,3
" ","Emly, Tipperary Division",2,2,0,1,3,2
" ","Emyvale, Cavan/Monaghan Division",28,12,13,9,5,5
" ","Enfield, Meath Division",13,15,3,11,6,4
" ","Ennis, Clare Division",204,159,120,103,73,75
" ","Enniscorthy, Wexford Division",100,89,43,51,60,41
" ","Enniscrone, Sligo/Leitrim Division",7,15,10,9,7,6
" ","Enniskerry, Wicklow Division",7,5,6,3,3,2
" ","Ennistymon, Clare Division",33,17,29,17,14,17
" ","Eyrecourt, Galway Division",4,2,3,3,0,0
" ","Farranfore, Kerry Division",13,8,5,4,4,7
" ","Ferbane, Laois/Offaly Division",10,4,2,9,5,4
" ","Fermoy, Cork North Division",56,51,39,38,32,32
" ","Ferns, Wexford Division",9,14,6,5,7,3
" ","Ferrybank, Waterford Division",28,29,14,18,28,18
" ","Fethard, Tipperary Division",11,8,7,14,6,11
" ","Finglas, D.M.R. Western Division",203,155,124,90,92,70
" ","Fitzgibbon Street, D.M.R. North Central Division",119,105,72,54,41,36
" ","Foxford, Mayo Division",15,4,10,5,4,4
" ","Foynes, Limerick Division",6,4,5,1,5,3
" ","Frenchpark, Roscommon/Longford Division",8,7,3,7,1,2
" ","Freshford, Kilkenny/Carlow Division",1,6,3,3,3,1
" ","Gaillimh, Galway Division",308,248,191,163,143,169
" ","Garristown, D.M.R. Northern Division",3,4,8,5,2,4
" ","Glanmire, Cork City Division",48,32,31,31,22,21
" ","Glantaine, Cork North Division",9,3,5,1,7,4
" ","Glasson, Westmeath Division",5,6,4,4,3,4
" ","Gleann na Muaidhe, Mayo Division",2,3,0,0,0,0
" ","Glenamaddy, Galway Division",2,6,4,2,2,2
" ","Glenbeigh, Kerry Division",0,3,3,6,0,3
" ","Glengarriff, Cork West Division",2,3,4,1,2,4
" ","Glenmore, Kilkenny/Carlow Division",2,5,4,3,3,5
" ","Glin, Limerick Division",0,1,0,1,0,2
" ","Glynn, Wexford Division",3,3,1,2,3,0
" ","Gob an Choire, Mayo Division",8,2,2,0,4,1
" ","Golden, Tipperary Division",7,4,2,1,3,3
" ","Goresbridge, Kilkenny/Carlow Division",4,10,4,4,9,4
" ","Gorey, Wexford Division",104,95,75,44,45,38
" ","Gort, Galway Division",68,47,25,29,24,20
" ","Graiguenamanagh, Kilkenny/Carlow Division",17,5,8,4,7,8
" ","Granard, Roscommon/Longford Division",24,21,15,13,10,10
" ","Grange, Sligo/Leitrim Division",8,4,12,1,4,7
" ","Greystones, Wicklow Division",61,38,34,24,19,21
