"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Moneygall, Tipperary Division",1,0,3,0,2,3
" ","Monivea, Galway Division",3,1,4,4,6,4
" ","Mooncoin, Kilkenny/Carlow Division",7,9,7,12,5,3
" ","Mountbellew, Galway Division",15,9,8,6,3,8
" ","Mountcharles, Donegal Division",0,2,4,5,2,0
" ","Mountjoy, D.M.R. North Central Division",93,106,137,184,173,181
" ","Mountmellick, Laois/Offaly Division",35,33,23,30,32,31
" ","Mountrath, Laois/Offaly Division",26,18,15,17,16,13
" ","Moville, Donegal Division",28,26,24,19,17,12
" ","Moylough, Galway Division",0,2,2,3,4,3
" ","Moyne, Tipperary Division",3,1,2,2,0,1
" ","Muff, Donegal Division",22,12,12,8,7,8
" ","Muine Bheag, Kilkenny/Carlow Division",50,49,39,27,24,11
" ","Mullagh, Cavan/Monaghan Division",12,9,9,8,8,7
" ","Mullinahone, Tipperary Division",3,4,4,7,5,1
" ","Mullinavat, Kilkenny/Carlow Division",4,4,4,2,4,1
" ","Mullingar, Westmeath Division",193,169,127,135,109,95
" ","Multyfarnham, Westmeath Division",2,3,4,4,1,3
" ","Murroe, Limerick Division",3,8,9,4,5,2
" ","Myshall, Kilkenny/Carlow Division",5,5,7,4,1,6
" ","Na Cealla Beaga, Donegal Division",16,26,11,12,9,7
" ","Na Gleannta, Donegal Division",25,18,16,11,10,9
" ","Naas, Kildare Division",108,128,122,159,95,124
" ","Navan, Meath Division",136,78,72,69,76,92
" ","Nenagh, Tipperary Division",76,50,49,46,38,49
" ","New Ross, Wexford Division",71,76,68,66,53,68
" ","Newbridge, Kildare Division",100,113,108,103,90,64
" ","Newcastle West, Limerick Division",56,46,54,47,79,56
" ","Newmarket on Fergus, Clare Division",13,6,19,8,6,6
" ","Newmarket, Cork North Division",14,12,15,13,11,9
" ","Newport, Co Mayo, Mayo Division",5,9,3,1,6,4
" ","Newport, Co Tipperary, Tipperary Division",3,9,11,9,6,4
" ","Newtowncunningham, Donegal Division",24,15,15,19,12,13
" ","Newtownmountkennedy, Wicklow Division",15,18,9,11,11,15
" ","Nobber, Meath Division",6,7,10,19,6,4
" ","Oldcastle, Meath Division",20,29,28,19,11,10
" ","Omeath, Louth Division",2,3,2,5,4,3
" ","Oola, Limerick Division",4,3,0,1,4,2
" ","Oughterard, Galway Division",3,9,8,8,4,4
" ","Oulart, Wexford Division",13,12,10,6,6,4
" ","Oylegate, Wexford Division",12,4,4,5,4,2
" ","Pallasgreen, Limerick Division",11,7,4,4,4,2
" ","Pallaskenry, Limerick Division",3,17,12,6,6,2
" ","Partry, Mayo Division",1,4,7,4,5,0
